lsm,enb_PCI,900M_max_prb,1.8G_max_prb,1.8H_max_prb,1.8E_max_prb,2.1E_max_prb,2.1G_max_prb,fa,900M_rrc_rate,1.8G_rrc_rate,1.8H_rrc_rate,1.8E_rrc_rate,2.1E_rrc_rate,2.1G_rrc_rate,type_MCMC,ru,RS_POWER,count
LSM1,SEC0007271_437,71.2,72.1,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM1,SEC0007272_8,88.4,86.1,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,3
LSM1,SEC0007274_364,72.5,70.0,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM10,SEC0007277_428,74.3,38.7,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM10,SEC0007277_81,92.9,95.7,0.0,0.0,0.0,0.0,2,25%,75%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,4
LSM10,SEC0007278_115,96.7,66.0,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,11
LSM10,SEC0007278_332,72.7,53.3,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007281_12,71.7,74.3,0.0,0.0,39.2,0.0,3,23%,62%,0%,0%,16%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM4,SEC0007281_37,79.1,75.2,0.0,0.0,52.2,0.0,3,26%,59%,0%,0%,15%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM1,SEC0007282_340,75.9,87.4,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM9,SEC0007283_402,88.7,88.6,90.8,0.0,0.0,0.0,3,20%,53%,27%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM3,SEC0007284_140,92.2,77.2,0.0,0.0,0.0,0.0,2,25%,75%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM5,SEC0007309_88,92.0,83.5,84.5,0.0,0.0,0.0,3,32%,42%,26%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,13
LSM5,SEC0007312_112,90.8,63.4,0.0,0.0,0.0,0.0,2,42%,58%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM5,SEC0007314_263,88.1,90.9,0.0,0.0,0.0,0.0,2,17%,83%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,4
LSM5,SEC0007315_154,78.0,81.8,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,5
LSM5,SEC0007317_172,87.1,86.9,0.0,0.0,0.0,0.0,2,18%,82%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM5,SEC0007317_364,88.8,64.7,0.0,0.0,0.0,51.9,3,33%,49%,0%,0%,0%,18%,MCMC,2,ci_pwrOpt_Same,4
LSM5,SEC0007318_394,75.6,63.5,0.0,0.0,0.0,0.0,2,35%,65%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM5,SEC0007321_188,73.9,83.1,0.0,0.0,0.0,72.7,3,22%,51%,0%,0%,0%,27%,MCMC,1,ci_pwrOpt_Same,2
LSM9,SEC0007324_342,81.8,82.2,0.0,0.0,58.0,0.0,3,27%,66%,0%,0%,7%,0%,MCCC,6,ci_pwrOpt_Same,2
LSM9,SEC0007331_360,94.6,94.4,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,7
LSM9,SEC0007332_157,79.8,46.8,0.0,0.0,0.0,0.0,2,54%,46%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM9,SEC0007334_199,87.5,65.8,51.1,0.0,0.0,0.0,3,24%,45%,31%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,3
LSM9,SEC0007335_25,71.2,48.5,53.0,0.0,0.0,0.0,3,20%,42%,38%,0%,0%,0%,MCMC,4,ci_pwrOpt_Same,1
LSM9,SEC0007337_373,74.7,73.1,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007340_100,80.6,49.4,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007342_145,70.2,65.0,69.9,0.0,0.0,0.0,3,20%,48%,32%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007342_229,89.1,80.3,88.6,0.0,0.0,0.0,3,20%,49%,31%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM9,SEC0007343_201,78.5,73.5,77.4,0.0,0.0,0.0,3,19%,47%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007343_88,72.4,78.1,0.0,0.0,0.0,0.0,2,18%,82%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007344_177,89.7,50.8,0.0,0.0,0.0,0.0,2,18%,82%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007344_184,82.6,33.2,0.0,0.0,0.0,0.0,2,25%,75%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,1
LSM9,SEC0007345_49,76.0,55.0,0.0,0.0,0.0,0.0,2,23%,77%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007346_183,84.4,78.0,0.0,0.0,69.5,0.0,3,24%,62%,0%,0%,14%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM9,SEC0007347_240,76.0,85.8,0.0,0.0,59.8,0.0,3,27%,57%,0%,0%,17%,0%,MCMC,3,ci_pwrOpt_Same,1
LSM9,SEC0007348_213,90.6,53.5,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM9,SEC0007349_374,77.0,73.0,0.0,0.0,70.4,0.0,3,19%,45%,0%,0%,36%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM9,SEC0007349_45,70.8,59.3,0.0,0.0,54.6,0.0,3,21%,47%,0%,0%,32%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM9,SEC0007350_150,83.9,42.8,0.0,0.0,53.7,0.0,3,20%,47%,0%,0%,33%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007350_434,96.3,78.6,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,5
LSM9,SEC0007351_307,79.7,53.6,0.0,0.0,0.0,0.0,2,23%,77%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM9,SEC0007352_280,82.5,77.0,78.9,0.0,0.0,0.0,3,20%,48%,32%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM9,SEC0007353_56,75.3,67.4,55.9,0.0,0.0,0.0,3,20%,52%,28%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM9,SEC0007355_299,76.8,62.2,0.0,0.0,0.0,0.0,2,31%,69%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007357_53,71.6,78.4,0.0,0.0,68.8,0.0,3,21%,51%,0%,0%,28%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007359_262,90.2,93.0,0.0,0.0,0.0,0.0,2,14%,86%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM9,SEC0007361_36,72.9,73.3,0.0,0.0,52.9,0.0,3,18%,50%,0%,0%,32%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM9,SEC0007364_160,74.1,66.8,58.1,0.0,0.0,0.0,3,22%,46%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM9,SEC0007368_227,81.9,81.7,0.0,0.0,68.5,0.0,3,21%,56%,0%,0%,22%,0%,MCMC,2,ci_pwrOpt_Same,4
LSM9,SEC0007373_485,72.1,54.5,59.2,0.0,0.0,0.0,3,37%,41%,23%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM9,SEC0007380_110,84.8,68.2,0.0,0.0,69.8,0.0,3,21%,44%,0%,0%,35%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM9,SEC0007386_157,71.3,64.8,77.5,0.0,0.0,0.0,3,19%,50%,31%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM9,SEC0007386_287,78.2,53.4,56.2,0.0,0.0,0.0,3,25%,44%,31%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM9,SEC0007389_272,71.7,84.9,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM5,SEC0007395_445,79.5,55.0,0.0,0.0,0.0,0.0,2,34%,66%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,1
LSM5,SEC0007397_429,78.1,88.9,72.1,0.0,0.0,0.0,3,18%,54%,28%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,6
LSM5,SEC0007398_367,70.7,48.7,66.4,0.0,0.0,0.0,3,15%,19%,66%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM5,SEC0007398_56,70.2,59.8,0.0,0.0,0.0,0.0,2,25%,75%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM5,SEC0007402_257,97.6,57.9,0.0,0.0,0.0,0.0,2,29%,71%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,6
LSM5,SEC0007404_119,75.5,68.4,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM5,SEC0007404_435,83.3,37.2,0.0,0.0,0.0,0.0,2,28%,72%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM5,SEC0007404_98,76.8,85.6,70.4,0.0,0.0,0.0,3,23%,51%,26%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM5,SEC0007406_234,84.0,70.2,0.0,0.0,0.0,0.0,2,28%,72%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,5
LSM5,SEC0007406_416,98.7,94.0,0.0,0.0,0.0,0.0,2,34%,66%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,13
LSM5,SEC0007406_419,75.2,75.4,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM5,SEC0007406_448,77.5,42.3,0.0,0.0,0.0,0.0,2,35%,65%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM5,SEC0007407_11,72.3,66.3,56.2,0.0,0.0,0.0,3,20%,46%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM5,SEC0007410_122,85.1,83.1,0.0,0.0,0.0,0.0,2,32%,68%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM5,SEC0007412_175,74.2,75.4,0.0,0.0,0.0,0.0,2,29%,71%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM5,SEC0007419_31,77.0,47.3,0.0,0.0,62.7,0.0,3,53%,22%,0%,0%,26%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM5,SEC0007420_249,71.0,66.3,0.0,0.0,48.3,0.0,3,21%,47%,0%,0%,32%,0%,MCMC,3,ci_pwrOpt_Half,1
LSM5,SEC0007424_38,74.9,67.8,0.0,0.0,0.0,0.0,2,25%,75%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM5,SEC0007426_185,76.4,46.8,0.0,0.0,0.0,0.0,2,17%,83%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,2
LSM5,SEC0007428_75,75.3,67.8,59.8,0.0,0.0,0.0,3,19%,51%,30%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM5,SEC0007431_48,70.8,65.4,59.4,0.0,0.0,0.0,3,19%,47%,34%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM5,SEC0007432_311,70.8,82.6,59.3,0.0,0.0,0.0,3,19%,50%,31%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM5,SEC0007432_389,71.2,64.8,65.3,0.0,0.0,0.0,3,27%,36%,37%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM5,SEC0007433_364,74.5,65.6,61.3,0.0,0.0,0.0,3,20%,51%,29%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM5,SEC0007438_191,84.4,70.8,0.0,0.0,59.8,0.0,3,22%,46%,0%,0%,32%,0%,MCMC,2,ci_pwrOpt_Same,4
LSM6,SEC0007445_101,80.5,53.5,0.0,0.0,0.0,0.0,2,39%,61%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM6,SEC0007448_294,99.7,43.0,28.7,0.0,0.0,0.0,3,18%,48%,34%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,15
LSM6,SEC0007449_271,93.5,74.4,0.0,0.0,0.0,0.0,2,44%,56%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,15
LSM10,SEC0007453_86,80.5,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM10,SEC0007458_391,73.3,37.1,53.9,0.0,0.0,0.0,3,60%,20%,21%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,1
LSM10,SEC0007459_67,79.6,73.7,0.0,0.0,0.0,0.0,2,12%,88%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM1,SEC0007460_16,71.6,57.0,0.0,0.0,53.8,0.0,3,36%,45%,0%,0%,19%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM1,SEC0007462_257,82.9,81.3,45.7,0.0,0.0,0.0,3,17%,64%,19%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM1,SEC0007464_101,81.4,71.1,0.0,0.0,0.0,0.0,2,32%,68%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM3,SEC0007466_304,71.8,52.3,62.0,0.0,0.0,0.0,3,20%,46%,33%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007467_108,82.2,61.0,64.7,0.0,0.0,0.0,3,18%,42%,40%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM3,SEC0007467_88,91.5,68.5,60.1,0.0,0.0,0.0,3,20%,45%,35%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0007468_43,73.5,46.7,0.0,0.0,0.0,0.0,2,25%,75%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007469_430,74.3,43.6,0.0,0.0,0.0,0.0,2,33%,67%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0007472_433,76.7,74.3,68.3,0.0,0.0,0.0,3,21%,46%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0007476_129,75.5,64.4,74.2,0.0,0.0,0.0,3,19%,42%,38%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007476_289,80.1,64.7,63.4,0.0,0.0,0.0,3,19%,52%,30%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007477_141,85.2,68.4,0.0,0.0,72.1,0.0,3,21%,44%,0%,0%,35%,0%,MCMC,3,ci_pwrOpt_Same,3
LSM3,SEC0007477_342,81.4,62.4,0.0,0.0,59.4,0.0,3,25%,54%,0%,0%,22%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM3,SEC0007479_210,85.5,78.4,94.8,0.0,0.0,0.0,3,19%,44%,36%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,8
LSM3,SEC0007480_146,70.1,78.1,74.3,0.0,0.0,0.0,3,18%,50%,32%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007481_247,73.4,59.0,0.0,0.0,53.1,0.0,3,20%,45%,0%,0%,36%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007481_388,71.3,60.7,0.0,0.0,58.1,0.0,3,26%,45%,0%,0%,29%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007483_46,93.4,96.7,0.0,0.0,0.0,0.0,2,31%,69%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,5
LSM3,SEC0007484_295,76.7,50.7,0.0,0.0,0.0,0.0,2,29%,71%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007485_285,80.5,55.7,0.0,0.0,34.3,0.0,3,36%,46%,0%,0%,17%,0%,MCMC,2,ci_pwrOpt_Same,5
LSM3,SEC0007486_187,79.0,69.8,80.8,0.0,0.0,0.0,3,20%,43%,37%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007487_439,82.4,84.9,0.0,0.0,0.0,0.0,2,23%,77%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007489_191,94.8,46.4,39.0,0.0,0.0,0.0,3,19%,53%,29%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0007491_276,86.0,82.1,0.0,0.0,51.8,0.0,3,16%,57%,0%,0%,26%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM3,SEC0007491_410,71.8,53.3,0.0,0.0,60.1,0.0,3,24%,51%,0%,0%,25%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007491_429,73.5,63.1,0.0,0.0,49.0,0.0,3,22%,49%,0%,0%,29%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007493_138,71.7,61.4,0.0,0.0,47.2,0.0,3,20%,51%,0%,0%,29%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007493_420,87.0,43.1,0.0,0.0,26.6,0.0,3,17%,57%,0%,0%,26%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM3,SEC0007493_448,71.2,60.4,0.0,0.0,57.1,0.0,3,20%,48%,0%,0%,32%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM1,SEC0007494_94,86.4,86.1,73.4,0.0,0.0,0.0,3,16%,49%,35%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM3,SEC0007496_187,81.6,62.9,0.0,0.0,0.0,0.0,2,18%,82%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM3,SEC0007496_196,85.4,74.0,82.9,0.0,0.0,0.0,3,17%,49%,34%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM3,SEC0007496_326,73.1,60.3,51.2,0.0,0.0,0.0,3,15%,51%,34%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007497_2,94.7,94.6,70.1,0.0,0.0,0.0,3,19%,43%,38%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,15
LSM3,SEC0007497_350,84.0,61.9,85.2,0.0,0.0,0.0,3,18%,44%,38%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM1,SEC0007498_306,82.3,81.0,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM1,SEC0007498_379,87.5,62.2,76.4,0.0,0.0,0.0,3,18%,36%,46%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM1,SEC0007499_241,73.6,37.7,0.0,0.0,0.0,0.0,2,40%,60%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007502_221,75.9,79.5,0.0,0.0,65.5,0.0,3,24%,48%,0%,0%,28%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM3,SEC0007502_224,97.2,81.7,0.0,0.0,85.8,0.0,3,23%,46%,0%,0%,31%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM3,SEC0007503_338,70.4,64.6,0.0,0.0,35.1,0.0,3,26%,56%,0%,0%,18%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007504_159,74.7,70.8,74.6,0.0,0.0,0.0,3,15%,32%,53%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007504_280,99.1,92.9,91.3,0.0,0.0,0.0,3,13%,55%,32%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,4
LSM3,SEC0007504_446,75.1,66.8,74.7,0.0,0.0,0.0,3,16%,54%,30%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM3,SEC0007505_166,85.6,82.8,64.7,0.0,0.0,0.0,3,18%,53%,29%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,13
LSM3,SEC0007506_421,82.2,78.9,70.4,0.0,0.0,0.0,3,18%,56%,25%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,5
LSM3,SEC0007510_438,70.3,68.6,0.0,0.0,34.8,0.0,3,28%,57%,0%,0%,15%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007511_332,75.6,77.2,0.0,0.0,65.1,0.0,3,18%,49%,0%,0%,33%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007512_173,77.3,80.2,0.0,0.0,0.0,0.0,2,25%,75%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0007514_266,76.5,83.4,79.1,0.0,0.0,0.0,3,23%,48%,29%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM2,SEC0007518_256,82.5,58.9,47.1,0.0,0.0,0.0,3,16%,50%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM2,SEC0007523_388,76.2,75.3,85.4,0.0,0.0,0.0,3,15%,51%,35%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM2,SEC0007543_321,82.5,73.1,37.9,0.0,0.0,0.0,3,21%,44%,35%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM2,SEC0007544_20,71.8,67.1,88.3,0.0,0.0,0.0,3,15%,47%,38%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM2,SEC0007556_43,73.2,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM2,SEC0007561_345,73.3,53.7,0.0,0.0,0.0,0.0,2,26%,74%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,1
LSM2,SEC0007563_87,71.1,54.8,0.0,0.0,51.1,0.0,3,23%,49%,0%,0%,27%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007567_171,96.3,50.1,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0007567_280,72.3,44.4,44.2,0.0,0.0,0.0,3,17%,55%,28%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007568_302,80.8,46.7,66.8,0.0,0.0,0.0,3,20%,46%,34%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007570_131,90.8,89.2,0.0,0.0,0.0,0.0,2,36%,64%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007572_52,93.3,95.0,0.0,0.0,0.0,0.0,2,23%,77%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007581_430,84.4,41.1,0.0,0.0,0.0,0.0,2,28%,72%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0007582_104,74.6,56.7,34.1,0.0,0.0,0.0,3,25%,48%,28%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007582_396,70.1,72.5,77.7,0.0,0.0,0.0,3,19%,50%,31%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0007584_88,97.3,71.5,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM3,SEC0007588_169,82.0,55.3,54.2,0.0,0.0,0.0,3,18%,47%,35%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM3,SEC0007593_344,84.8,59.6,0.0,0.0,0.0,0.0,2,28%,72%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0007593_51,90.4,64.5,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM3,SEC0007594_237,87.6,66.8,67.6,0.0,0.0,0.0,3,22%,50%,27%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0007594_371,72.2,44.7,64.3,0.0,0.0,0.0,3,20%,48%,32%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,1
LSM10,SEC0009175_91,82.2,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM10,SEC0009177_34,80.4,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,3
LSM10,SEC0009178_45,79.5,68.4,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM10,SEC0009192_416,81.1,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM8,SEC0009199_59,78.2,64.7,0.0,0.0,0.0,70.7,3,8%,70%,0%,0%,0%,22%,MCMC,2,ci_pwrOpt_Same,1
LSM7,SEC0009204_438,85.1,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM7,SEC0009206_291,89.3,65.4,79.7,0.0,0.0,0.0,3,22%,46%,32%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,4
LSM10,SEC0009211_312,70.2,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,1
LSM10,SEC0009212_211,88.2,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM10,SEC0009212_440,82.0,0.0,10.6,0.0,0.0,0.0,2,89%,0%,11%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,2
LSM7,SEC0009218_16,71.7,75.0,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM7,SEC0009218_351,79.4,61.3,0.0,0.0,0.0,0.0,2,31%,69%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM7,SEC0009219_150,79.3,66.8,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM7,SEC0009221_29,78.8,51.0,49.7,0.0,0.0,0.0,3,26%,53%,20%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM10,SEC0009224_237,87.6,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,3
