lsm,enb_PCI,900M_max_prb,1.8G_max_prb,1.8H_max_prb,1.8E_max_prb,2.1E_max_prb,2.1G_max_prb,fa,900M_rrc_rate,1.8G_rrc_rate,1.8H_rrc_rate,1.8E_rrc_rate,2.1E_rrc_rate,2.1G_rrc_rate,type_MCMC,ru,RS_POWER,count
LSM4,SEC0006162_311,86.4,78.6,49.2,0.0,39.7,0.0,4,19%,36%,24%,0%,21%,0%,MCMC,1,ci_pwrOpt_Same,9
LSM4,SEC0006163_65,74.9,67.3,71.6,0.0,67.4,0.0,4,20%,22%,40%,0%,18%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0006165_142,78.2,58.6,0.0,0.0,64.1,0.0,3,31%,42%,0%,0%,27%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM4,SEC0006166_21,73.6,50.5,53.6,0.0,52.6,0.0,4,26%,23%,26%,0%,25%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM1,SEC0006169_118,72.0,60.3,53.7,0.0,0.0,0.0,3,9%,70%,21%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM1,SEC0006169_129,99.9,98.2,99.5,0.0,99.9,0.0,4,12%,37%,26%,0%,25%,0%,MCMC,1,ci_pwrOpt_Same,15
LSM1,SEC0006169_308,74.7,65.5,0.0,0.0,56.4,0.0,3,23%,50%,0%,0%,27%,0%,MCMC,3,ci_pwrOpt_Same,2
LSM3,SEC0006170_99,81.3,57.8,65.7,0.0,55.7,0.0,4,26%,23%,25%,0%,26%,0%,MCMC,1,ci_pwrOpt_Same,5
LSM3,SEC0006172_349,84.1,73.9,73.0,0.0,86.0,0.0,4,16%,31%,25%,0%,29%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM3,SEC0006172_86,70.0,60.3,0.0,0.0,47.8,0.0,3,23%,51%,0%,0%,26%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0006173_198,85.8,50.5,0.0,0.0,72.8,0.0,3,32%,43%,0%,0%,26%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0006173_310,77.7,61.5,0.0,0.0,0.0,0.0,2,26%,74%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,4
LSM3,SEC0006175_428,71.4,40.9,43.2,0.0,56.4,0.0,4,25%,26%,23%,0%,26%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0006175_95,73.6,46.6,47.1,0.0,45.9,0.0,4,21%,31%,22%,0%,26%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM3,SEC0006175_96,75.8,78.7,50.5,0.0,57.8,0.0,4,14%,39%,23%,0%,24%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM3,SEC0006179_150,84.3,88.2,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM9,SEC0006188_334,79.1,70.6,48.7,0.0,0.0,0.0,3,28%,50%,22%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM1,SEC0006191_15,81.1,87.5,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,6
LSM1,SEC0006191_180,78.0,67.8,0.0,0.0,0.0,0.0,2,36%,64%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM1,SEC0006191_72,81.6,71.3,68.4,0.0,61.7,0.0,4,17%,37%,22%,0%,24%,0%,MCMC,2,ci_pwrOpt_Same,4
LSM2,SEC0006196_46,92.9,34.4,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0006569_226,70.9,47.5,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM4,SEC0006570_171,75.0,73.2,73.3,0.0,0.0,0.0,3,31%,30%,38%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,3
LSM4,SEC0006571_272,83.1,70.5,0.0,0.0,31.0,0.0,3,20%,42%,0%,0%,38%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0006571_424,77.0,76.9,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM1,SEC0006573_397,82.9,58.4,60.5,0.0,25.3,0.0,4,28%,21%,22%,0%,29%,0%,MCMC,1,ci_pwrOpt_Same,4
LSM1,SEC0006576_443,89.3,81.3,32.4,0.0,0.0,0.0,3,22%,62%,15%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM9,SEC0007113_112,87.5,85.1,64.1,0.0,0.0,0.0,3,29%,42%,29%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM7,SEC0007118_435,90.1,79.1,0.0,0.0,0.0,0.0,2,33%,67%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM7,SEC0007121_216,84.8,86.0,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,2
LSM7,SEC0007121_73,80.4,69.3,50.7,0.0,0.0,0.0,3,16%,50%,34%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM7,SEC0007122_128,73.2,68.8,52.7,0.0,0.0,0.0,3,19%,48%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,2
LSM7,SEC0007122_164,70.6,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM7,SEC0007122_400,90.8,76.2,75.7,0.0,0.0,0.0,3,19%,50%,32%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,4
LSM7,SEC0007123_320,79.6,82.9,82.1,0.0,0.0,0.0,3,18%,46%,36%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,3
